Growth.form,Growth.form.2,AccSpeciesName,HV (cm/cm2),Al/As (m2/cm2),"HV (10^4, m2/m2)",K (g/m2),P (g/m2),N (g/m2),K (kg/g),P (g/kg),N (g/kg),LMA (g/m2),WD (g/cm3),Dv (um),Denisty (mm-2),Transpiration (mmol/m2/s),Annual psi min,Midday psi leaf (Mpa),WUE (umol/mol),Gs (mol/m2/s),Aarea (umol/m2/s),LDMC (g/g),SLA (cm2/g),MVL (cm),MOR (N/mm2),BVD (um),MVD (um),WLR (um/um),Vessel%,Parenchyma%,Fiber%,Kl (mmol/m/s/Mpa),Dh (um),PLC (%),Midday K (kg/m/s/Mpa),Osmotic potential at full turgor (Mpa),Leaf water potential at turgor loss point (Mpa),Bulk modulus of elasticity (Mpa),Absolute capacitance (mol/m2/Mpa),K,Units_K,P50,Units_P50,Slope,Units_Slope,Source
liana,liana,Acacia Megaladena,,,,,,,,,,,0.43,,,,,,,,,,,,99.9,59.53,44.08,0.029,12.39,6.8,78.9,,,,,,,,,6.83,kg/m/s/Mpa,-2.3,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Bauhinia aurea,,,,,,,,,,,0.66,,,,,,,,,,,,170.15,53.78,26.88,0.04,7.61,31.45,59.36,,,,,,,,,1.7,kg/m/s/Mpa,-1.88,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Bauhinia yunnanensis,,,,,,,,,,,0.41,,,,,,,,,,,,91.07,46.73,26.04,0.041,15.53,20.97,59.73,,,,,,,,,4.33,kg/m/s/Mpa,-2.8,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Byttneria aspera,,,,,,,,,,,0.39,,,,,,,,,,,,92.93,59.81,27.25,0.031,11.87,30.05,55.44,,,,,,,,,1.45,kg/m/s/Mpa,-2.28,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Combretum latifolium,,1.09,1.54,,,,,,19.93,,0.51,212,,,,,,,10.85,,,109,160.61,58.28,31.24,0.035,7.42,18.86,72.21,4.47,160.1,,,,,,,2.9925,kg/m/s/Mpa,-1.835,Mpa,,,Zhang et al. 2019 (Tree Physiology) & Zhu et al. 2017 (Tree Physiology) & Zhu and Cao 2009 (Plant Ecology)
liana,liana,Ficus sagittata,,,,,,,,,,,0.39,,,,,,,,,,,,99.08,61.63,35.05,0.035,11.33,38.16,48.3,,,,,,,,,1.45,kg/m/s/Mpa,-1.98,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Fissistigma maclurei,,,,,,,,,,,0.38,,,,,,,,,,,,88.98,66.85,42.56,0.032,12.18,32.03,53.61,,,,,,,,,0.52,kg/m/s/Mpa,-2.12,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Mallotus repandus,,,,,,,,,,,0.34,,,,,,,,,,,,156.02,56.98,40.21,0.036,10.31,28.59,59.32,,,,,,,,,2.12,kg/m/s/Mpa,-2.69,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Premna scandens,,,,,,,,,,,0.44,,,,,,,,,,,,154.7,61.6,36.2,0.034,11.46,17.81,68.33,,,,,,,,,2.22,kg/m/s/Mpa,-2.99,Mpa,,,Zhang et al. 2019 (Tree Physiology)
liana,liana,Strychnos angustiflora,,,,,,,,,,,0.51,,,,,,,,,,,,120.13,50.24,32.14,0.035,14.41,36.87,45.74,,,,,,,,,10.71,kg/m/s/Mpa,-2.29,Mpa,,,Zhang et al. 2019 (Tree Physiology)
