Growth.form,Growth.form.2,AccSpeciesName,K,Units_K,P50,Units_P50,Slope,Units_Slope,Latitude,Longitude,Altitude,Dry_len,Meas_szn,Source
liana,liana,Acacia Megaladena,6.83,kg/m/s/Mpa,-2.3,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Bauhinia aurea,1.7,kg/m/s/Mpa,-1.88,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Bauhinia yunnanensis,4.33,kg/m/s/Mpa,-2.8,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Byttneria aspera,1.45,kg/m/s/Mpa,-2.28,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Combretum latifolium,1.17,kg/m/s/Mpa,-2.17,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Combretum latifolium,4.52,kg/m/s/Mpa,-1.5,Mpa,,,21.9,101.767,675,6,,Zhu et al. 2017 (Tree Physiology)
liana,liana,Combretum latifolium,3.14,kg/m/s/Mpa,,,,,21.9,101.767,580,6,Wet,Zhu and Cao 2009 (Plant Ecology)
liana,liana,Ficus sagittata,1.45,kg/m/s/Mpa,-1.98,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Fissistigma maclurei,0.52,kg/m/s/Mpa,-2.12,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Mallotus repandus,2.12,kg/m/s/Mpa,-2.69,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Premna scandens,2.22,kg/m/s/Mpa,-2.99,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Strychnos angustiflora,10.71,kg/m/s/Mpa,-2.29,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Uncaria laevigata,12.25,kg/m/s/Mpa,-2.48,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Uncaria macrophylla,6.46,kg/m/s/Mpa,-2.4,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
liana,liana,Uncaria macrophylla,12.38,kg/m/s/Mpa,-1,Mpa,,,21.9,101.767,675,6,,Zhu et al. 2017 (Tree Physiology)
tree,angiosperm,Allophylus cobbe,0.45,kg/m/s/Mpa,-1.14,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
tree,angiosperm,Balakata baccata,1.23,kg/m/s/Mpa,-2.86,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
tree,angiosperm,Castanopsis hainanensis,1.63,kg/m/s/Mpa,-1.75,Mpa,,,21.6,101.583,780,6,Wet,Zhang et al. 2019 (Tree Physiology)
